Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
0 days 00:30:49.919000,20.3,33,1017.6,FALSE,32.7,64,4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:31:49.914000,20.3,33,1017.7,FALSE,32.2,51,3.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:32:49.919000,20.2,35,1017.8,FALSE,32.2,48,3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:33:49.922000,20.3,35,1017.6,FALSE,32.3,43,1.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:34:49.922000,20.2,35,1017.7,FALSE,32.4,28,3.4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:35:49.923000,20.3,36,1017.7,FALSE,32.4,41,2.3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:36:49.923000,20.3,36,1017.6,FALSE,32.3,53,3.5,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:37:49.932000,20.3,36,1017.7,FALSE,32.2,75,2.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:38:49.924000,20.3,36,1017.8,FALSE,32.1,60,3.4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:39:49.923000,20.3,36,1017.7,FALSE,31.9,45,2.9,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:40:49.926000,20.2,36,1017.7,FALSE,31.9,46,2.4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:41:49.956000,20.3,36,1017.8,FALSE,31.9,41,2.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:42:49.958000,20.4,36,1017.7,FALSE,32.3,42,1.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:43:49.981000,20.4,37,1017.7,FALSE,32,47,2.3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:44:50.001000,20.4,37,1017.7,FALSE,31.9,57,2.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:45:50.013000,20.3,37,1017.8,FALSE,31.9,70,1.8,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:46:50.028000,20.3,37,1017.8,FALSE,31.6,50,2.6,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:47:50.020000,20.3,37,1017.7,FALSE,31.6,49,2.9,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:48:50.025000,20.3,38,1017.8,FALSE,31.6,48,3.1,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:49:50.037000,20.3,38,1017.8,FALSE,31.5,43,2.2,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:50:50.051000,20.3,38,1017.8,FALSE,31.3,47,3.3,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:51:50.046000,20.2,38,1017.7,FALSE,31.2,44,2.4,1,Bahrain Grand Prix,FP3,02-03-2024
0 days 00:52:50.044000,20.2,38,1017.8,FALSE,31.2,43,2.5,1,Bahrain Grand Prix,FP3,02-03-2024
