Time,Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,Position,RoundNumber,GP,Session,Date
0 days 00:48:25.870000,HUL,27,0.4599528935847452,12,3.0,0.22399559713813977,0.40608680561033716,0.10762052877138417,MEDIUM,0.02564102564102564,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:50:04.500000,HUL,27,0.45663947624053547,13,3.0,0.22067896764475858,0.400249278197624,0.11235377645547368,MEDIUM,0.038461538461538464,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:51:42.922000,HUL,27,0.45387164167187866,14,3.0,0.2207079338412073,0.4025527349604784,0.10753938738251406,MEDIUM,0.05128205128205128,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:53:21.075000,HUL,27,0.45029208638837526,15,3.0,0.2196506676708282,0.4000915071864697,0.10699844479004667,MEDIUM,0.0641025641025641,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:54:59.013000,HUL,27,0.4474311035409655,16,3.0,0.2203603394838224,0.3936702270324851,0.10893231455811758,MEDIUM,0.07692307692307693,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:56:37.179000,HUL,27,0.45046507604891617,17,3.0,0.2198823972424181,0.3954688165596453,0.11092027858543513,MEDIUM,0.08974358974358974,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:58:15.437000,HUL,27,0.45168931056966843,18,3.0,0.21765200011586477,0.39351245602133067,0.11592399756575839,MEDIUM,0.10256410256410256,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:59:53.968000,HUL,27,0.4553220934410307,19,3.0,0.22186658169915707,0.39810359244592397,0.11174521603894788,MEDIUM,0.11538461538461538,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:01:32.642000,HUL,27,0.4572249797069823,20,3.0,0.22199692958317646,0.3981193695470395,0.1135438501589019,MEDIUM,0.1282051282051282,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:03:10.898000,HUL,27,0.4516626967757389,21,3.0,0.22241693943168322,0.39401732325702477,0.11101494353911695,MEDIUM,0.14102564102564102,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:04:49.126000,HUL,27,0.4512901036607273,22,3.0,0.2219534802885033,0.3958001356830696,0.10954087497464332,MEDIUM,0.15384615384615385,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:06:27.988000,HUL,27,0.45972667633634523,23,3.0,0.22332937461981867,0.40539261316125785,0.10860774900263714,MEDIUM,0.16666666666666666,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:08:09.219000,HUL,27,0.49125071524571196,24,3.0,0.222952814065985,0.3987662306927725,0.14667658394752858,MEDIUM,0.1794871794871795,1,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:17:34.303000,HUL,27,0.7310676123434778,26,4.0,0.23801523621933207,0.5014120505498321,0.2883494489147339,MEDIUM,0.20512820512820512,0,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:19:52.986000,HUL,27,0.9896206203675366,27,4.0,0.6597920227094982,0.4869760030292035,0.1696531205625803,MEDIUM,0.21794871794871795,0,Haas F1 Team,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:20:30.844000,LEC,16,0.7960451902220922,2,1.0,0.21190221012078908,0.6503321079784801,0.2511190749881669,MEDIUM,0.02564102564102564,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:22:05.520000,LEC,16,0.4040240056421245,3,1.0,0.20451583002635926,0.37237114052663967,0.09787003854215975,MEDIUM,0.038461538461538464,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:26:04.185000,LEC,16,0.3959067984936595,5,1.0,0.20245923007849842,0.365192559519114,0.09769423219960782,MEDIUM,0.0641025641025641,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:28:17.293000,LEC,16,0.9154346697893521,6,1.0,0.3422935434348116,0.6465298266096589,0.2539590235986206,MEDIUM,0.07692307692307693,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:32:46.597000,LEC,16,0.39914037445608064,8,2.0,0.20127161602409988,0.3646403609800736,0.10256271553181423,MEDIUM,0.10256410256410256,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:34:38.514000,LEC,16,0.633448216210462,9,2.0,0.27312226631521014,0.47416499692346536,0.17971465278247345,MEDIUM,0.11538461538461538,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:51:00.027000,LEC,16,0.38528789471583136,11,3.0,0.199330880862034,0.35585251565877285,0.09782946784772467,MEDIUM,0.02564102564102564,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:55:42.805000,LEC,16,0.9032455521696898,13,3.0,0.3133128638878429,0.7440796428064307,0.18501589018865372,MEDIUM,0.05128205128205128,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:57:34.670000,LEC,16,0.6327562575682977,14,3.0,0.2008660892738175,0.5465030055377625,0.18447494759618638,MEDIUM,0.0641025641025641,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:59:23.309000,LEC,16,0.5898282079601858,15,3.0,0.20077919068447125,0.46140132212107354,0.2138751774967882,MEDIUM,0.07692307692307693,1,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:07:52.174000,LEC,16,0.4319684892679876,17,4.0,0.21818787475016654,0.38251581654386824,0.10480762729055376,MEDIUM,0.10256410256410256,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:09:30.213000,LEC,16,0.4487751001343998,18,4.0,0.22089621411812416,0.3932442453023681,0.11016295895598077,MEDIUM,0.11538461538461538,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:11:08.214000,LEC,16,0.4482694380497414,19,4.0,0.2196796338672769,0.39632078001987914,0.1081479477990398,MEDIUM,0.1282051282051282,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:12:45.968000,LEC,16,0.4449826344994612,20,4.0,0.21938997190278947,0.39116166795512997,0.1095003042802083,MEDIUM,0.14102564102564102,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:14:23.432000,LEC,16,0.44112363437969915,21,4.0,0.22041827187671986,0.3903728128993579,0.10529447562377442,MEDIUM,0.15384615384615385,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:16:02.098000,LEC,16,0.45711852453126456,22,4.0,0.21685542971352434,0.4015114462868593,0.11532896071404425,MEDIUM,0.16666666666666666,0,Ferrari,,1,Bahrain Grand Prix,FP1,02-03-2024
