GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps
Azerbaijan Grand Prix,BOT,3,HARD,22,23.98275862068965,41.189655172413794,1,0.2745098039215686,3,1,0,0
Azerbaijan Grand Prix,BOT,4,MEDIUM,16,24.55,36.62777777777777,1,0.6862745098039216,1,1,0,0
Azerbaijan Grand Prix,DEV,1,HARD,9,23.0125,43.05,0,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,GAS,1,MEDIUM,5,22.33333333333333,42.75833333333333,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,GAS,2,HARD,18,25.10625,41.85,1,0.1176470588235294,2,2,0,0
Azerbaijan Grand Prix,GAS,3,HARD,28,25.275,38.596428571428575,1,0.4705882352941176,1,0,0,0
Azerbaijan Grand Prix,HAM,1,MEDIUM,9,23.384615384615383,41.68461538461538,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,HAM,2,HARD,42,25.27435897435897,39.57179487179487,1,0.196078431372549,3,1,0,0
Azerbaijan Grand Prix,HUL,1,HARD,49,24.41818181818181,40.64363636363637,1,0.0196078431372549,4,1,0,0
Azerbaijan Grand Prix,HUL,2,SOFT,1,20.85,38.95,1,0.9803921568627452,2,4,0,0
Azerbaijan Grand Prix,LEC,1,MEDIUM,10,23.15294117647059,42.976470588235294,1,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,LEC,2,HARD,40,24.86904761904762,40.05238095238095,1,0.2745098039215686,4,2,0,0
Azerbaijan Grand Prix,MAG,1,MEDIUM,10,22.77894736842105,42.45789473684211,1,0.0196078431372549,2,1,0,0
Azerbaijan Grand Prix,MAG,2,HARD,41,25.24871794871795,39.47948717948718,1,0.2352941176470588,2,1,0,0
Azerbaijan Grand Prix,NOR,1,MEDIUM,9,22.84117647058824,42.71176470588235,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,NOR,2,HARD,42,24.69333333333333,40.29111111111111,1,0.196078431372549,4,5,0,0
Azerbaijan Grand Prix,OCO,1,HARD,50,24.652830188679243,40.46415094339623,1,0.0196078431372549,4,1,0,0
Azerbaijan Grand Prix,OCO,2,SOFT,1,24.6,34.8,1,1.0,0,0,0,0
Azerbaijan Grand Prix,PER,1,MEDIUM,10,23.466666666666665,42.806666666666665,1,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,PER,2,HARD,40,24.79069767441861,40.20232558139535,1,0.2745098039215686,4,3,0,0
Azerbaijan Grand Prix,PIA,1,MEDIUM,8,22.80666666666667,42.68,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,PIA,2,HARD,43,24.780434782608697,40.23913043478261,1,0.1764705882352941,4,6,0,0
Azerbaijan Grand Prix,RUS,1,MEDIUM,10,22.97222222222222,42.72777777777778,1,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,RUS,2,HARD,38,24.97948717948718,40.148717948717945,1,0.2745098039215686,4,2,0,0
Azerbaijan Grand Prix,RUS,3,SOFT,2,21.05,36.1125,1,0.9803921568627452,2,1,0,0
Azerbaijan Grand Prix,SAI,1,MEDIUM,10,23.13529411764706,43.01764705882353,1,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,SAI,2,HARD,40,24.693181818181817,40.26363636363636,1,0.2745098039215686,4,3,0,0
Azerbaijan Grand Prix,SAR,1,MEDIUM,8,22.84,42.64666666666667,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,SAR,2,HARD,43,24.778260869565216,40.22391304347826,1,0.1764705882352941,4,6,0,0
Azerbaijan Grand Prix,STR,1,MEDIUM,10,22.950000000000003,42.71111111111111,0,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,STR,2,HARD,43,24.69772727272728,40.25909090909091,0,0.2745098039215686,3,2,0,0
Azerbaijan Grand Prix,TSU,1,MEDIUM,8,23.57272727272728,42.02727272727273,1,0.0196078431372549,1,0,0,0
Azerbaijan Grand Prix,TSU,2,HARD,43,24.53125,39.63333333333333,0,0.1764705882352941,3,2,0,0
Azerbaijan Grand Prix,VER,1,MEDIUM,10,23.2875,42.9125,1,0.0196078431372549,2,0,0,0
Azerbaijan Grand Prix,VER,2,HARD,41,24.79069767441861,40.20232558139535,1,0.2745098039215686,4,3,0,0
Azerbaijan Grand Prix,ZHO,1,MEDIUM,10,22.950000000000003,42.73888888888889,1,0.0196078431372549,2,1,0,0
Azerbaijan Grand Prix,ZHO,2,HARD,25,24.45172413793104,41.8448275862069,1,0.2745098039215686,2,4,0,0
Bahrain Grand Prix,ALB,1,SOFT,11,26.194117647058825,30.7,1,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,ALB,2,SOFT,15,26.508000000000003,32.384,1,0.2105263157894736,0,0,0,0
Bahrain Grand Prix,ALB,3,HARD,14,26.164,31.576,1,0.4736842105263157,1,0,1,0
Bahrain Grand Prix,ALB,4,SOFT,17,24.82857142857143,28.985714285714284,0,0.7192982456140351,0,0,1,0
Bahrain Grand Prix,ALO,1,SOFT,17,26.2448275862069,32.54482758620689,0,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,ALO,2,HARD,20,26.27741935483871,31.541935483870965,1,0.2631578947368421,0,0,0,0
Bahrain Grand Prix,ALO,3,HARD,23,26.4,31.296875,1,0.6140350877192983,2,0,1,0
Bahrain Grand Prix,BOT,1,SOFT,11,25.83333333333333,30.81904761904762,1,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,BOT,2,HARD,18,26.839285714285715,33.13928571428571,1,0.2105263157894736,0,0,0,0
Bahrain Grand Prix,BOT,3,HARD,28,26.24,29.92571428571429,1,0.5263157894736842,1,0,2,0
Bahrain Grand Prix,DEV,1,SOFT,11,26.05652173913043,32.23913043478261,1,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,DEV,2,HARD,16,26.32903225806452,32.29677419354839,1,0.2105263157894736,0,0,0,0
Bahrain Grand Prix,DEV,3,HARD,29,25.595744680851062,29.96382978723404,1,0.4912280701754385,1,0,2,0
Bahrain Grand Prix,GAS,1,SOFT,9,26.3125,33.4625,1,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,GAS,2,HARD,16,26.236,31.28,1,0.175438596491228,0,0,0,0
Bahrain Grand Prix,GAS,3,HARD,15,25.42,30.97714285714286,1,0.4561403508771929,1,0,1,0
Bahrain Grand Prix,GAS,4,SOFT,17,26.34117647058824,28.98235294117647,1,0.7192982456140351,0,0,1,0
Bahrain Grand Prix,HAM,1,SOFT,15,26.65882352941176,31.670588235294115,0,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,HAM,2,HARD,18,26.319230769230767,30.93076923076924,1,0.2280701754385964,0,0,0,0
Bahrain Grand Prix,HAM,3,HARD,27,26.35945945945946,30.87297297297297,1,0.543859649122807,2,0,1,0
Bahrain Grand Prix,HUL,1,SOFT,14,26.58823529411765,32.11764705882353,0,0.0175438596491228,4,0,0,0
Bahrain Grand Prix,HUL,2,HARD,15,26.945945945945947,35.097297297297295,1,0.2105263157894736,0,0,0,0
Bahrain Grand Prix,HUL,3,HARD,14,25.857142857142858,32.511428571428574,1,0.4736842105263157,1,0,1,0
Bahrain Grand Prix,HUL,4,SOFT,19,25.02962962962963,28.42222222222222,0,0.7192982456140351,0,0,1,0
Bahrain Grand Prix,LEC,1,SOFT,13,26.855555555555554,32.34444444444445,1,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,LEC,2,HARD,20,26.451851851851853,30.98148148148148,1,0.2456140350877192,0,0,0,0
Bahrain Grand Prix,LEC,3,HARD,6,26.08333333333333,31.766666666666666,1,0.5964912280701754,0,0,0,0
Bahrain Grand Prix,MAG,1,HARD,15,26.3375,31.391666666666666,1,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,MAG,2,HARD,14,26.738235294117647,34.40294117647059,1,0.2807017543859649,0,0,0,0
Bahrain Grand Prix,MAG,3,SOFT,11,25.946428571428573,33.017857142857146,1,0.5263157894736842,1,0,1,0
Bahrain Grand Prix,MAG,4,SOFT,16,26.34375,28.98125,1,0.7192982456140351,0,0,1,0
Bahrain Grand Prix,NOR,1,SOFT,10,26.571428571428573,33.74761904761905,1,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,NOR,2,HARD,7,26.313333333333333,32.44,1,0.1929824561403508,0,0,0,0
Bahrain Grand Prix,NOR,3,SOFT,13,24.99642857142857,30.207142857142856,0,0.3157894736842105,0,0,0,0
Bahrain Grand Prix,NOR,4,MEDIUM,10,25.65384615384616,32.034615384615385,1,0.4912280701754385,0,0,0,0
Bahrain Grand Prix,NOR,5,HARD,10,25.95833333333333,28.941666666666663,1,0.6666666666666666,2,0,1,0
Bahrain Grand Prix,NOR,6,SOFT,11,26.285714285714285,28.885714285714283,0,0.8421052631578947,0,0,0,0
Bahrain Grand Prix,NOR,7,SOFT,7,26.3,28.7,0,0.9649122807017544,0,0,0,0
Bahrain Grand Prix,OCO,1,SOFT,15,26.38636363636364,31.97272727272728,0,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,OCO,2,HARD,3,25.55333333333333,33.32,1,0.2280701754385964,0,0,0,0
Bahrain Grand Prix,OCO,3,HARD,20,25.613953488372093,31.66046511627907,0,0.2807017543859649,0,0,0,0
Bahrain Grand Prix,OCO,4,HARD,9,26.00909090909091,29.127272727272725,1,0.5789473684210527,2,0,1,0
Bahrain Grand Prix,PER,1,SOFT,20,26.845454545454547,31.95909090909091,0,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,PER,2,SOFT,19,26.452,31.404,0,0.3157894736842105,0,0,0,0
Bahrain Grand Prix,PER,3,HARD,23,26.226666666666667,30.41,1,0.6140350877192983,1,0,2,0
Bahrain Grand Prix,PIA,1,SOFT,13,26.726923076923075,33.96923076923077,1,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,RUS,1,SOFT,16,26.392592592592592,33.214814814814815,0,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,RUS,2,HARD,18,26.32,30.872,1,0.2456140350877192,0,0,0,0
Bahrain Grand Prix,RUS,3,HARD,26,25.71875,30.73333333333333,1,0.5614035087719298,1,0,2,0
Bahrain Grand Prix,SAI,1,SOFT,16,26.885,33.255,0,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,SAI,2,HARD,18,26.412,31.06,1,0.2456140350877192,0,0,0,0
Bahrain Grand Prix,SAI,3,HARD,26,26.23548387096774,29.74516129032258,1,0.5614035087719298,2,0,1,0
Bahrain Grand Prix,SAR,1,SOFT,12,26.205,31.055,1,0.0175438596491228,5,0,0,0
Bahrain Grand Prix,SAR,2,SOFT,18,26.334375,32.321875,1,0.2280701754385964,0,0,0,0
Bahrain Grand Prix,SAR,3,HARD,10,25.98421052631579,31.68421052631579,1,0.543859649122807,1,0,1,0
Bahrain Grand Prix,SAR,4,SOFT,16,25.126829268292685,30.70731707317073,1,0.7192982456140351,0,0,1,0
Bahrain Grand Prix,STR,1,SOFT,18,26.417857142857144,32.31071428571429,0,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,STR,2,HARD,15,26.09642857142857,31.967857142857145,1,0.2807017543859649,0,0,0,0
Bahrain Grand Prix,STR,3,HARD,27,26.365714285714283,30.55142857142857,1,0.543859649122807,1,0,2,0
Bahrain Grand Prix,TSU,1,SOFT,10,26.420689655172417,34.40689655172414,1,0.0175438596491228,6,0,0,0
Bahrain Grand Prix,TSU,2,HARD,16,26.044,30.728,1,0.1929824561403508,0,0,0,0
Bahrain Grand Prix,TSU,3,HARD,14,25.13823529411765,30.029411764705884,1,0.4736842105263157,1,0,1,0
Bahrain Grand Prix,TSU,4,SOFT,20,26.07894736842105,28.847368421052632,0,0.7192982456140351,0,0,1,0
Bahrain Grand Prix,VER,1,SOFT,17,26.83181818181818,32.70909090909091,0,0.0175438596491228,5,0,0,0
