GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps,CircuitType_x,TrackLength_x,CircuitType_y,TrackLength_y,CircuitType,TrackLength,TrackAbrasiveness
Austrian Grand Prix,HAM,1,MEDIUM,2,26.59166666666667,43.575,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,HAM,2,MEDIUM,14,24.95238095238096,38.30952380952381,0,0.0422535211267605,4,1,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,HAM,3,HARD,28,24.2875,36.755,1,0.2112676056338028,0,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,HAM,4,MEDIUM,29,22.990625,32.309375,1,0.6056338028169014,2,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,HUL,1,MEDIUM,5,26.641666666666666,43.73333333333333,0,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,HUL,2,MEDIUM,14,26.008000000000003,41.208,0,0.0422535211267605,1,1,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,HUL,3,HARD,1,26.116666666666664,39.5,1,0.1690140845070422,1,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,LEC,1,MEDIUM,2,27.052941176470583,44.858823529411765,1,0.0140845070422535,3,6,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,LEC,2,MEDIUM,15,24.63809523809524,37.285714285714285,0,0.0422535211267605,2,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,LEC,3,MEDIUM,32,23.700000000000003,34.826829268292684,1,0.2253521126760563,2,0,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,LEC,4,HARD,24,24.35135135135135,35.983783783783785,1,0.676056338028169,0,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,MAG,1,HARD,1,26.46666666666667,42.48333333333333,1,0.0140845070422535,1,5,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,MAG,2,MEDIUM,1,26.925,42.96666666666667,1,0.028169014084507,0,1,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,MAG,3,HARD,31,23.95897435897436,36.22307692307693,1,0.0422535211267605,4,1,4,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,MAG,4,HARD,37,23.506976744186044,34.1,0,0.4929577464788732,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,NOR,1,MEDIUM,2,26.77857142857143,44.15714285714286,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,NOR,2,MEDIUM,14,24.376470588235293,37.10588235294117,0,0.0422535211267605,4,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,NOR,3,HARD,27,23.49090909090909,34.08787878787879,1,0.2112676056338028,0,0,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,NOR,4,HARD,30,23.141176470588235,32.794117647058826,1,0.5915492957746479,1,0,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,OCO,1,MEDIUM,2,25.666666666666668,42.01666666666667,1,0.0140845070422535,1,4,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,OCO,2,MEDIUM,14,25.412,39.8,0,0.0422535211267605,4,2,2,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,OCO,3,HARD,26,24.5625,37.37,1,0.2112676056338028,0,0,1,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,OCO,4,HARD,30,23.13823529411765,32.794117647058826,1,0.5774647887323944,0,0,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PER,1,MEDIUM,2,26.0875,41.8375,1,0.0140845070422535,1,6,0,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
Austrian Grand Prix,PER,2,MEDIUM,25,24.13870967741936,36.59032258064516,0,0.0422535211267605,2,1,3,0,Permanent,4.326,Permanent,4.326,Permanent,4.326,Medium
